"Acer Iconia A3-A10","a3-a10"
"Acer Iconia One 10","b3-a40 fhd"
"Acer Iconia One 10","b3-a40"
"Acer Iconia One 10","b3-a30"
"Acer ICONIA ONE 10","b3-a20"
"Acer Iconia One 7","b1-770"
"Acer ICONIA ONE 8","b1-810"
"Acer Iconia Tab","iconia tab a1-810"
"Acer Iconia Tab 10","a3-a40"
"Acer Iconia Tab 8","a1-850"
"Acer K330","k330"
"Acer Liquid Z6","t09"
"Acer Liquid Z630","t03"
"Acer Tablette tactile Iconia Tab 10","a3-a20"
"Alcatel 3C","5026d"
"Alcatel 5044C","alcatel_5044c"
"Alcatel A3","5046y"
"Alcatel A3 Plus","5011a"
"Alcatel A3 XL","9008d"
"Alcatel A30 Fierce","5049z"
"Alcatel A30 TABLET","9024w"
"Alcatel A5 LED","5085d"
"Alcatel Fierce 4","5056n"
"Alcatel Ideal","4060a"
"Alcatel idealXCITE","5044r"
"Alcatel Idealxcite","alcatel_5044r"
"Alcatel Idol 4","6055p"
"Alcatel one touch dawn","5027b"
"Alcatel One Touch Fierce XL ","5054n"
"Alcatel One Touch Idol 3","6045y"
"Alcatel ONE Touch PIXI 4","5045d"
"Alcatel One Touch PIXI 4","8050d"
"ALCATEL ONE TOUCH PIXI 4","5010d"
"Alcatel One Touch PIXI 4","8063"
"Alcatel One Touch Pixi Avion","a570bl"
"Alcatel One Touch Pop 3","5015d"
"Alcatel One Touch POP 3","5015a"
"Alcatel One Touch Pop 4 Plus","5056d"
"Alcatel OneTouch","a462c"
"ALCATEL onetouch A3 XL","9008x"
"ALCATEL ONETOUCH Elevate","5017b"
"ALCATEL ONETOUCH Idol 3","6045o"
"ALCATEL ONETOUCH IDOL 4","6055u"
"ALCATEL OneTouch POP 4","5056x"
"ALCATEL onetouch U5","4047x"
"ALCATEL Pixi 3 TAB","9022x"
"Alcatel Pixi 4","4034x"
"Alcatel Pixi 4","9001d"
"Alcatel Pixi 4","4034e"
"Alcatel Pixi 4","5010e"
"Alcatel Pixi 4","9001x"
"Alcatel Pixi 4","5012g"
"Alcatel Pixi 4","8050e"
"Alcatel Pixi 4","8050g"
"Alcatel PIXI 4","4034d"
"ALCATEL Pixi 4","5045x"
"Alcatel Pixi 4 ","5010x"
"Alcatel Pixi 4 ","5010g"
"ALCATEL PIXI AVION","a571vl"
"Alcatel Pixi Glory","a621bl"
"ALCATEL Pixi Unite","a466bg"
"Alcatel POP 4","5051x"
"Alcatel POP 4","7070x"
"Alcatel Pop 4","5056a"
"Alcatel Pop 4","5051d"
"Alcatel PulseMix","5085c"
"Alcatel PulseMix 5085C","alcatel 5085c"
"Alcatel Raven","a574bl"
"Alcatel Revvl","5049w"
"Alcatel Shine Lite","5080a"
"Alcatel Shine Lite","5080x"
"Alcatel T70","t70"
"Alcatel TRU 5065N","5065n"
"Alcatel U5","5044y"
"Alcatel U5","4047d"
"ALCATEL U5","5044d"
"Alcatel U5","4047a"
"Alcatel Vodafone Smart Prime","895n"
"Alcatel Zip","a577vl"
"Altice S70","s70"
"Altice STARADDICT 6","staraddict 6"
"Altice STARXTREM 6","starxtrem 6"
"Amazon Fire 7","fire (2015)"
"Amazon Fire 7","fire 7 (2017)"
"Amazon Fire HD 10","fire hd 10 (2015)"
"Amazon Fire HD 10","kfsuwi"
"Amazon Fire HD 8","kfdowi"
"Amazon Fire HD 8","fire hd 8 (2017)"
"Amazon Fire HD 8","fire hd 8 (2016)"
"Amazon KFASWI","kfaswi"
"Amazon KFAUWI","kfauwi"
"Amazon KFGIWI","kfgiwi"
"Amazon Kindle Fire","kindle fire hdx 7"
"Amazon Kindle Fire","kfmewi"
"Amazon Kindle Fire HD 6","kfarwi"
